,road_code,road,road_slice,road_type,district
62,4Н1252а ,"4Р38 автойулидан  шахобча ""Сайилжойи"" махалласига",0-3,Маҳаллий,Ш.рашидов тумани
63,4Н1252б ,"4Р38 автойулидан  шахобча ""Уратепалик"" ва ""Заргарлик""  махаллаларига ",0-3,Маҳаллий,Ш.рашидов тумани
64,М-39,"""Алмати-Бишкек-Тошкент- Шахрисабз-Термиз"" а/й",969-1007,Халқаро,Зарбдор тумани
65,А-376,"""Кукон -Жиззах""",293-299,Халқаро,Зарбдор тумани
66,4Р-194 ,"""Пишагар к.-Зарбдор темир йул станцияси-""Янгиер-Пахтакор""",14-38,Давлат,Зарбдор тумани
67,4Р 196,"""Янгиер ш.-Жиззах БСУС-""Даштобод-Найман"" а/йули-Учтепа к.""",45-73,Давлат,Зарбдор тумани
68,4Р-285 ,"М-39 а/йули-Окар агрохизмат маркази-4Р-33 а/йулига чикиш""",6-36.,Давлат,Зарбдор тумани
69,А-376,"""Кукон - Жиззах"" ",242-293,Халқаро,Зомин тумани
70,4Р 33,"Даштобод ш.-Найман к.-А 373 автойули""",0-14,Давлат,Зомин тумани
71,4Р 34,"""Жиззах ш.-Равот к.-Зомин к.-Савот к - Ховос ш""",0-72,Давлат,Зомин тумани
72,4Р 40,"""Даштобод ш.-Зомин к.-Бахмал к-Галлаорол ш""",0-91,Давлат,Зомин тумани
73,4Р 194,"""Пишагар к.-Зарбдор темирйул станцияси -Янгиер-Пахтакор""автойули",0-14,Давлат,Зомин тумани
74,4Р 196,"""Янгиер ш.-Жиззах БСУС-Даштобод-Найман"" автойули-Учтепа к.",19-45,Давлат,Зомин тумани
75,4Р 285,М-39 автойули - Окар агрохизмат маркази-4Р33 автойулига чикиш,36-46,Давлат,Зомин тумани
76,4К 238,"""Даштобод ш.-Ём к.-Туркман к.-Ковункести к""",0-28,Маҳаллий,Зомин тумани
77,4К 239,"Зомин ш.-Каранчи к.-Жаркишлок к-Суфикишлок к.""",0-15,Маҳаллий,Зомин тумани
78,4К 241,"""Зарбдор темирйул станцияси-Аччи к - Корамозор к""",0-37,Маҳаллий,Зомин тумани
79,4К 242,"""Аччи к.-Толли к."" ",0-24,Маҳаллий,Зомин тумани
80,4К258,Зомин шахарчасини айланиш  автойули,0-6,Маҳаллий,Зомин тумани
81,4к259,"""Кукон-Жиззах"" автойули-6-сон темир йул разъезди-Зомин к.",0-17,Маҳаллий,Зомин тумани
82,4Р-32," ""Янгиер ш.-Пахтакор ш.""-""Жиззах-Чимкургон"" а/й",79-93,Давлат,Зафаробод тумани
83,4Р-37," ""Жиззах ш.-Чимкургон к.-4Р-36"" а/йули",14-40,Давлат,Зафаробод тумани
84,4Р-197 ,"""Пахтакор-Чимкургон"" а/йули-Зафаробод ш.-Гагарин ш""",0-15,Давлат,Зафаробод тумани
85,4К-227," ""Жиззах-Гагарин"" йули-Самарканд ФУ-С.Рахимов ФУ""",17-28,Маҳаллий,Зафаробод тумани
86,4К-257," ""Чимкургон к-Тузкон кули"" а/й",0-18,Маҳаллий,Зафаробод тумани
87,4К-257а ,"шахобча ""Чимкургон"" кишлогига",0-4,Маҳаллий,Зафаробод тумани
88,4Н-1224," ""С.Рахимов ФУ-Янгикишлок к.-Зафаробод к.-Уч кахрамон к.""",0-15,Маҳаллий,Зафаробод тумани
89,4Н-1225а ,"""Жиззах-Чимкургон-Арнасой курфази"" а/йулидан ""Мустакиллик"" ФУга ",0-10,Маҳаллий,Зафаробод тумани
90,4Н-1225б ,"""Жиззах-Чимкургон-Арнасой курфази"" а/йулидан ""Чимкургон"" Фуга",0-2,Маҳаллий,Зафаробод тумани
91,4Н-1225в ,"""Жиззах-Чимкургон-Арнасой курфази"" а/йулидан ""Ф.Хужаев"" Фуга",0-3,Маҳаллий,Зафаробод тумани
92,4Н-1226 ,"""Козоковул к.-№1 ва №2 Паррандачилик фабрикаси""",0-13,Маҳаллий,Зафаробод тумани
93,4Р-31а," ""Янгиер ш.-Дустлик к."" а/йулидан шахобча Гагарин ш.га",4-10.,Давлат,Мирзачўл тумани
94,4Р-35," ""Жиззах ш.(4Р38 автойули)-Пахтакор ш-Дустлик ш.Гагарин ш-М39 автойули (918км)""",70-83,Давлат,Мирзачўл тумани
95,4Р-197," ""Пахтакор-Чимкургон"" а/йули-Зафаробод ш.-Гагарин ш""",56-85,Давлат,Мирзачўл тумани
96,4К-221," ""Дустлик ш.-Пахтазор Фу-Тошкент ФУ""",14-32,Маҳаллий,Мирзачўл тумани
97,4К-221а ,"""Дустлик ш.-Пахтазор Фу-Тошкент ФУ"" а/йулидан Туркистон Фу а/йули",0-10,Маҳаллий,Мирзачўл тумани
98,4К-261 ,4Р-38а/й-Козогистон Республикаси чегараси,0-8,Маҳаллий,Мирзачўл тумани
99,4Н-1221 ,"""Гулистон-Гагарин"" йули-Сегизбоев ФУ""",0-10,Маҳаллий,Мирзачўл тумани
100,4Р-32 ,"""Янгиер ш.-Пахтакор ш.""-""Жиззах-Чимкургон"" а/й",60-79,Давлат,Пахтакор тумани
101,4Р-35 ,"""Жиззах ш.(4Р38 автойули)-Пахтакор ш-Дустлик ш.Гагарин ш-М39 автойули (918км)""",23-50,Давлат,Пахтакор тумани
102,4Р-196 ,"""Янгиер ш.-Жиззах БСУС-""Даштобод-Найман"" а/йули-Учтепа к.""",73-75,Давлат,Пахтакор тумани
103,4К-227 ,"""Жиззах-Гагарин"" йули-Самарканд ФУ-С.Рахимов ФУ""",0-17,Маҳаллий,Пахтакор тумани
104,4К-228 ,"""Жиззах-Гагарин"" а/йулидан А.Икромов Фуга",0-16,Маҳаллий,Пахтакор тумани
105,4К-228а ,"""Жиззах-Гагарин"" а/йулидан Кичанов Фуга",0-5,Маҳаллий,Пахтакор тумани
106,4К-231б ,"""Жиззах-Гагарин"" а/йулидан Самарканд Фу.га",0-3,Маҳаллий,Пахтакор тумани
107,4К-249 ,М-39 а/йулидан(946км) А.Темур Фуга,0-7,Маҳаллий,Пахтакор тумани
108,4Н-1227а ,"""Жиззах-Гагарин"" а/йулидан Пахтачи к.га",0-3,Маҳаллий,Пахтакор тумани
109,4Н-1227б ,"""Жиззах-Гагарин"" а/йулидан Окбулок к.га",0-3,Маҳаллий,Пахтакор тумани
110,4Н-1228а ,"""Янгиер-Пахтакор"" а/йулидан ""Пахтакор"" Фу.га",0-7,Маҳаллий,Пахтакор тумани
111,4Н-1228б ,"""Янгиер-Пахтакор"" а/йулидан №3 богдорчилик ФУ.га",0-12,Маҳаллий,Пахтакор тумани
112,4Р 36 ,"""Жиззах ш.-Янгикишлок к.-Кизилча к.-Кизилкум халка йули""",24-114,Давлат,Фориш тумани
113,4Р-37 ,"""Жиззах ш.-Чимкургон к.-4Р-36"" а/йули",40-46,Давлат,Фориш тумани
114,4Р-42 ,"""М-39 а/йули-Fаллаорол к.-Куйтош к.-Янгикишлок ш-часи""",52-91,Давлат,Фориш тумани
115,4Р-240 ,"""Осмонсой к.-Учкулоч к.-Узункудук к.-Янгикишлок к.""",0-46,Давлат,Фориш тумани
116,4Р-270 ,"""4Р-57 а/йули-Боймурод к.-Дарбаза к.-Кандибай к-Чордара сув омбори""",22-162,Давлат,Фориш тумани
117,4К-236 ,"""Янгикишлок к.-Банд дахаси""",0-11,Маҳаллий,Фориш тумани
118,4К-252 ,"""F.Fулом АХМ -Болгали к.-У.Юсупов Фу"" а/й",21-25,Маҳаллий,Фориш тумани
119,4Н-1232а," ""Жиззах-Янгикишлок-Кизилча-Нурота"" а/йулидан ""Учма"" к.га",0-3,Маҳаллий,Фориш тумани
120,4Н-1232б ,"""Жиззах-Янгикишлок-Кизилча-Нурота"" а/йулидан ""Боломон"" к.га",0-4,Маҳаллий,Фориш тумани
121,4Н-1232в," ""Жиззах-Янгикишлок-Кизилча-Нурота"" а/йулидан Сафар ота к.га",0-5,Маҳаллий,Фориш тумани
122,4Н-1232г ,"""Жиззах-Янгикишлок-Кизилча-Нурота"" а/йулидан Бирлашган к.га",0-4,Маҳаллий,Фориш тумани
123,4Н-1232д ,"""Жиззах-Янгикишлок-Кизилча-Нурота"" а/йулидан Эгизбулок к.га",0-4,Маҳаллий,Фориш тумани
124,4Н-1234а ,"""4Р-270 а/йулидан ""Омонгелди"" ФУга ",0-1,Маҳаллий,Фориш тумани
125,4Н-1234б ,"""4Р-270 а/йулидан ""Арнасой"" ФУга ",0-7,Маҳаллий,Фориш тумани
126,4Н-1249 ,"""Осмонсой к.-Сайёд к.-Илончи к.""",0-12,Маҳаллий,Фориш тумани
127,М-39,"""Алмати-Бишкек-Тошкент- Шахрисабз-Термиз"" а/й",1007-1037,Халқаро,Ғаллаорол тумани
128,4Р-38 ,"""М-39 автойули (962км) -Учтепа к-Жиззах ш.-М39 автойули (1013км)""",41-47,Давлат,Ғаллаорол тумани
129,4Р-40 ,"""Даштобод ш.-Зомин к.-Бахмал к.-Fаллаорол ш.""",166-182,Давлат,Ғаллаорол тумани
130,4Р-41 ,"""М-39 автойули -""Усмат к-Бахмал к"" а/й",0-18,Давлат,Ғаллаорол тумани
131,4Р-42 ,"""М-39 а/йули-Fаллаорол к.-Куйтош к.-Янгикишлок ш-часи""",0-52,Давлат,Ғаллаорол тумани
132,4Р-42а ,"М-39 а/йули--Fаллаорол к.-Куйтош к.-Янгикишлок ш."" а/йулидан ""Куйтош"" ш.часига",0-2,Давлат,Ғаллаорол тумани
133,4Р-43 ,"""М-39 а/йули-Маржонбулок к.-Зармитон к.-Кушработ к.""а/й",0-58,Давлат,Ғаллаорол тумани
134,4Р-43а ,"""М-39 а/йули-Маржонбулок к.-Зармитон к.-Кушработ к.""а/йулидан ""Лалмикор"" темир йул станциясига",0-2,Давлат,Ғаллаорол тумани
135,4Р-241 ,"""Октош ш.-Хатча к.-Аболик к."" а/й",0-22,Давлат,Ғаллаорол тумани
136,4К-237," М-39 а/йули (1032км)-Лалмикор т/йул станцияси-Октош к."" а/й",0-38,Маҳаллий,Ғаллаорол тумани
137,4К-252," ""F.Fулом АХМ -Болгали к.-У.Юсупов Фу"" а/й",0-21,Маҳаллий,Ғаллаорол тумани
138,4Н-1235б ,"М-39 а/йулидан ""Хонимкургон"" к.га (1034км)",0-4,Маҳаллий,Ғаллаорол тумани
139,4Н-1236," ""Fаллаорол ш.-№16 т/йул разъезди""",0-14,Маҳаллий,Ғаллаорол тумани
140,4Н-1237," ""Fаллаорол ш.-Истиклол ФУ""а/й",0-6,Маҳаллий,Ғаллаорол тумани
141,4Н-1238а ,"""4Р 41 а/йулидан ""Гулистон"" ФУ.га ",0-2,Маҳаллий,Ғаллаорол тумани
142,4Н-1241 ,"4Р-38 а/йулидан (44км) ""Коронгул к.га"" а/й",0-3,Маҳаллий,Ғаллаорол тумани
143,4Н-1242а ,"""Fаллаорол-Бахмал"" а/йулидан ""Зарбулок"" ФУ.га ",0-3,Маҳаллий,Ғаллаорол тумани
144,4Н-1242б ,"""Fаллаорол-Бахмал"" а/йулидан ""Кашкабулок"" ФУ.га ",0-5,Маҳаллий,Ғаллаорол тумани
145,М-34,"""Тошкент-Душанбе"" а/й",164-174,Халқаро,Янгиобод тумани
146,4Р 34,"""Жиззах ш.-Равот к.-Зомин к.-Сават к.-Ховост ш.""",72-102,Давлат,Янгиобод тумани
147,4Р-34а,"  шахобча ""Хавотог"" сихатгохига",0-8,Давлат,Янгиобод тумани
148,4К-254," ""Пасткичакир к.-Баландчакир к.-Хужамушкент к"" ",0-21,Маҳаллий,Янгиобод тумани
149,4К-254а ,"шахобча ""Баландчакир"" к.га ",0-5,Маҳаллий,Янгиобод тумани
150,4К-255," ""Даштобод ш.-Сохибкор к.-Савод к."" а/й",0-24,Маҳаллий,Янгиобод тумани
151,4Н-1250 ,"""Учкургон к.-М-34"" а/йули",0-7,Маҳаллий,Янгиобод тумани
152,4Н-1251 ,"""Чанговул к-Пастки-сармич к-Баландчакир к"" ",0-25,Маҳаллий,Янгиобод тумани
0,А380,"""Ғузор-Қарши-Бухоро-Нукус-Бейнау""",38-47,Халқаро,Қарши тумани
1,А380,"""Ғузор-Қарши-Бухоро-Нукус-Бейнау""",60-68,Халқаро,Қарши тумани
2,4Р79,"""Қарши -Чим-Чироқчи-шаҳрисабз""",0-21,Давлат,Қарши тумани
3,4Р87,А-378 а/й Қарши шах.кириш,52-53,Давлат,Қарши тумани
4,4Р89,"""Қарши-Толимаржон ГРЭС-Амударё""",0-13,Давлат,Қарши тумани
5,4Р90,"""Қарши-Бешкент-Касби-Косон ш.""",0-20,Давлат,Қарши тумани
6,4Р90 а,Кашкадарё т/й бекати,0-11,Давлат,Қарши тумани
7,4Р91 б,Интурист мехмонхонасига кириш,0-2,Давлат,Қарши тумани
8,4Р91 в,Қарши т/й бекатига,0-3,Давлат,Қарши тумани
9,4Р91 ж,Хонобод кишлогига,0-12,Давлат,Қарши тумани
10,4Р-92,"""Қарши-Толликургон-Касби-Жуйнов-Помук""",0-15,Давлат,Қарши тумани
11,4К308,Хонобод қ. - Чуғдума қ.,0-9,Маҳаллий,Қарши тумани
12,4К323,а) - Поштон қ га,0-2,Маҳаллий,Қарши тумани
13,4К328,4Р90 а/й-Кожор к-Лаганди к,0-6,Маҳаллий,Қарши тумани
14,4К333,Туморчи қ. -  Толимаржон ГРЭС - 4Р89авто йули( 37 км),0-14,Маҳаллий,Қарши тумани
15,4К333 а,Туморчи қ. -  Толимаржон ГРЭС - 4Р89авто йули( 37 км) а\й шах.а) Ипак йули ф.у.га,0-1,Маҳаллий,Қарши тумани
16,4Н285,Хушвақт қ. - Лаганди қ. - Боғот қ.,0-8,Маҳаллий,Қарши тумани
17,4Н286,Дашт қ. - Шайдулло қ.,0-14,Маҳаллий,Қарши тумани
18,4Н292 а, Намуна қишлоғига 46 км,0-6,Маҳаллий,Қарши тумани
19,4Н304,Дашт қ. - Пахтаобод қ.,0-5,Маҳаллий,Қарши тумани
20,4Н306 а,"""Қарши - Касби - Косон"" автойўлидан Насаф ш.х",0-4,Маҳаллий,Қарши тумани
21,4Н306 б,"""Қарши - Касби - Косон"" автойўлидан Батош ш.х",0-1,Маҳаллий,Қарши тумани
22,4К304,Қарши ш. - Ҳилол қ. - Оқработ қ.,0-22,Маҳаллий,Қарши тумани
23,4К305,Қарши ш. - Парғуза қ.,0-6,Маҳаллий,Қарши тумани
24,4К306,А-380 а/й (55 км)-Қарши ш. - Гидроузел - Худойзот қ.,0-7,Маҳаллий,Қарши тумани
25,4Н307,"""Қарши - Хонобод"" автойўлидан Қарши ф.у",0-2,Маҳаллий,Қарши тумани
26,4Н292,д) - Болалар шифохонасига 53 км,0-3,Маҳаллий,Қарши тумани
27,4К278,Бешкент ш. - Навруз- Чандир қ. - Жейнов қ.,0-8,Маҳаллий,Қарши тумани
28,4К320,4Р90 автойули - Пахтаобод қишлоғига, 0-6,Маҳаллий,Қарши тумани
29,4К341,4Р92 автойули-Бешкент ш-Чарагил к,0-21,Маҳаллий,Қарши тумани
30,4К348,Бешкент  айланма йули, 0-3,Маҳаллий,Қарши тумани
31,А380,"""Ғузор-Қарши-Бухоро-Нукус-Бейноу""",0-38,Халқаро,Ғузор тумани
32,М39,"""Алмата-Бешкек-Тошкент-шаҳрисабз-Термиз""",1228-1258,Халқаро,Ғузор тумани
33,А-378,"""Самарканд-Ғузор"" ",133-152,Халқаро,Ғузор тумани
34,4Р88,"""Мангит к.-Шуртан газ-кимё мажмуаси""",0-32,Давлат,Ғузор тумани
35,4К297в, Ғузор шаҳрига,0-2,Маҳаллий,Ғузор тумани
36,4К297г, Пачкамар сув омборига,0-6,Маҳаллий,Ғузор тумани
37,4К309,А-380 а/й (21 км)-Манғит қ. - Янгикент қ. - Қовчин қ.,0-20,Маҳаллий,Ғузор тумани
38,4К309 а,Сирак кишлогига кириш,0-2,Маҳаллий,Ғузор тумани
39,4К310,Ғузор ш. - Тўртсари қ.,0-22,Маҳаллий,Ғузор тумани
40,4К311,Кераит қ. - Чўмичли қ. - Занги бобо қ.,0-9,Маҳаллий,Ғузор тумани
41,4К312,Ғузор ш. - Чуғуртма қ.- А-380 а/й-Тошғузор т/й станцияси,0-17,Маҳаллий,Ғузор тумани
42,4К312 а,Дултали кишлогига,0-5,Маҳаллий,Ғузор тумани
43,4Н276,Яргунча қ-Совлиғар қ-Қоратикан қ,0-14,Маҳаллий,Ғузор тумани
44,4Н277,Апарди қ. - Алашур қ.,0-4,Маҳаллий,Ғузор тумани
45,4Н278,Ғузор ш. - Яккадарахт қ.,0-9,Маҳаллий,Ғузор тумани
46,4Н279,4Р88 автойули - Парчақизил қ.,0-15,Маҳаллий,Ғузор тумани
47,4Н291,"Совбоғ қ. - Ғармистон қ. - ""Қарши - Ғузор""  автойўли",0-4,Маҳаллий,Ғузор тумани
48,4К349,Ғузор айланма йули, 0-5,Маҳаллий,Ғузор тумани
49,4Н292,е) -М-39 а/йулига 5 км, 0-6,Маҳаллий,Ғузор тумани
50,4Н292,ж) А-378 а/йулига 5 км, 0-6,Маҳаллий,Ғузор тумани
51,М39,"""Алмата-Бешкек-Тошкент-шаҳрисабз-Термиз""",1258-1315,Халқаро,Деҳқонобод тумани
52,4К297д,М-39 а/йўлидан шохобчалар Етимқудуқ киш.га,0-8,Маҳаллий,Деҳқонобод тумани
53,4К297е,М-39 а/йўлидан шохобчалар Корадахана киш.га,0-5,Маҳаллий,Деҳқонобод тумани
54,4К299,М-39   а/йўли - Бозортепа қ. - Бойқўрғон қ.,0-26,Маҳаллий,Деҳқонобод тумани
55,4К300,Деҳқонобод қ (М39 авто йули 1281) - Қарашина қ. - Бошчорбоқ қ.,0-54,Маҳаллий,Деҳқонобод тумани
56,4К301,* Деҳқонобод қ. - Хужаипок қ.,0-28,Маҳаллий,Деҳқонобод тумани
57,4К301а,Кизилча киш.га кириш,0-24,Маҳаллий,Деҳқонобод тумани
58,4К301б,Окиртма киш.га кириш,0-10,Маҳаллий,Деҳқонобод тумани
59,4К336,  М39 автомобил йули-Тогайтемир к.-Кургонтош к.-Хужаипок к,0-46,Маҳаллий,Деҳқонобод тумани
60,М39,"""Алмата-Бешкек-Тошкент-шаҳрисабз-Термиз""",1200-1228,Халқаро,Қамаши тумани
61,А378,"""Самарканд-Ғузор"" ",112-133,Халқаро,Қамаши тумани
62,4Р79,"""Қарши -Чим-Чироқчи-шаҳрисабз""",21-60,Давлат,Қамаши тумани
63,4Р86,"""Лангар-Майданак""",0-66,Давлат,Қамаши тумани
64,4К290,Қоратепа қ. - Тўқбой қ.,0-7,Маҳаллий,Қамаши тумани
65,4К291,Чимқўрғон қ. - Қоратикан қ.,0-14,Маҳаллий,Қамаши тумани
66,4К294,Чим қ. - Қорақўтан қ. - Учтут қ. - Қорақум қ.,0-21,Маҳаллий,Қамаши тумани
67,4К295,Учтут қ. - Янгиқурилиш қ.,0-17,Маҳаллий,Қамаши тумани
68,4К295а,"а) - Эсабой қишлоғига, ",0-4,Маҳаллий,Қамаши тумани
69,4К295б,б) - Тўқбой қишлоғига,0-1,Маҳаллий,Қамаши тумани
70,4К296,М-39 а/йўли (1180 км)- Шўрча қ. - Қорабоғ қ.,0-13,Маҳаллий,Қамаши тумани
71,4К297а,Қўштамғали қишлоғига,0-5,Маҳаллий,Қамаши тумани
72,4К297б, Қамаши шаҳрига,0-8,Маҳаллий,Қамаши тумани
73,4К298,Шўрча қ. - Қамаши ш. - Хонтушди қ.,0-20,Маҳаллий,Қамаши тумани
74,4К304,Қарши ш. - Ҳилол қ. - Оқработ қ.,22-34,Маҳаллий,Қамаши тумани
75,4К340,Қамаши қ. - Чимқўрғон қ.,0-23,Маҳаллий,Қамаши тумани
76,4Н296,"""Қоратепа - Тўқбой"" автойўли - Ғиштли қишлоғи",0-1,Маҳаллий,Қамаши тумани
77,4Н297,Чим-Кукдала автойулидан-Оқработ қишлоғи,0-3,Маҳаллий,Қамаши тумани
78,4Н298,"""Учтут - Янги қурилиш"" автойўли - Тўқбой ф.у",0-1,Маҳаллий,Қамаши тумани
79,4Н314,"""Лангар-Майданак"" автойули -Х.Олимжон ф.у",0-14,Маҳаллий,Қамаши тумани
80,А380,"""Ғузор-Қарши-Бухоро-Нукус-Бейноу""",70-98,Халқаро,Косон тумани
81,4Р95,"""Ғузор-Нукус"" а/йулидан ""Пулоти-Шурбозор""",0-46,Давлат,Косон тумани
82,4Р90,"""Қарши-Бешкент-Касби-Косон ш.""",60-64,Давлат,Косон тумани
83,4Р234,"""Косон ш.-Карлук к.-Муборак ш.""",0-7,Давлат,Косон тумани
84,4К313,А-380 а/й- (61 км)-Некуз қ. - Пистали қ.-4Р95 а/йули,0-15,Маҳаллий,Косон тумани
85,4К314,Гувалак қ. - Пистали қ. - Пахтаобод қ.,0-17,Маҳаллий,Косон тумани
86,4К315,Некуз қ. - Гувалак қ.,0-11,Маҳаллий,Косон тумани
87,4К316,Қорабайир қ-Мудин қ.-Эсабой қ.,0-5,Маҳаллий,Косон тумани
88,4К317,Шербек қ.-Бўлмас қ.-Оқтепа қ.,0-17,Маҳаллий,Косон тумани
89,4К324,Эсабой қ - Туқманғит қ.,0-7,Маҳаллий,Косон тумани
90,4К334,Косон ш. - Қипчоқ қ. ,0-8,Маҳаллий,Косон тумани
91,4К335,Косон ш.-Жарқум қ.-Алатун қ.,0-33,Маҳаллий,Косон тумани
92,4К338,Косон ш-Жарқум қ-Катта ёбу қ,0-48,Маҳаллий,Косон тумани
93,4К339, Косон шахар айланма йўли,0-16,Маҳаллий,Косон тумани
94,4К344,4р91 автойули-Косон темир йул станцияси,0-6,Маҳаллий,Косон тумани
95,4Н281,Қозоқли қ. - Узунқудуқ қ.,0-3,Маҳаллий,Косон тумани
96,4Н284, А-380 автойули (81 км)- Косон ш. - Оброн қ. - Пудина қ.,0-19,Маҳаллий,Косон тумани
97,4Н292,б) - Қорабайир қишлоғига 72 км,0-3,Маҳаллий,Косон тумани
98,4Н300,Обидида қ-Кўлбука қ-Хужақўрғон қ.,0-4,Маҳаллий,Косон тумани
99,4Н301а,а) Райимсўфи қишлоғига  ,0-2,Маҳаллий,Косон тумани
100,4Н301б,б) Турон ф.у.га,0-3,Маҳаллий,Косон тумани
101,4Н301в,в) Олатун қишлоғига,0-4,Маҳаллий,Косон тумани
102,4Н302,Оқтепа қ. - Гулбоғ қ.,0-8,Маҳаллий,Косон тумани
103,4Н316,Гулбоғ қ. - Ширинтепа қ,0-20,Маҳаллий,Косон тумани
104,4Н324,Шайхали қўрғони-Дарча к - Ушоқтепа қ.,0-2,Маҳаллий,Косон тумани
105,4Р90,"""Қарши-Бешкент-Касби-Косон""",20-60,Давлат,Касби тумани
106,4Р92,"""Қарши-Толликургон-Касби-Жуйнов-Помук""",18-44,Давлат,Касби тумани
107,4Р97,Муборак-Помук-Аланг-33 д.х.-Нишон,70-82,Давлат,Касби тумани
108,4Р234,"""Косон ш.-Карлук к.-Муборак ш.""", 7-15,Давлат,Касби тумани
109,4К278,Бешкент ш. - Навруз- Чандир қ. - Жейнов қ.,8.-14,Маҳаллий,Касби тумани
110,4К321, Касби айланма йўли,0-6,Маҳаллий,Касби тумани
111,4К322,Касби ш.- Комилон қ. - Қатағон қ. ,0-12,Маҳаллий,Касби тумани
112,4К323,Денов қ. - Новкат қ. - Поштон қ. - Косон ш.,0-24,Маҳаллий,Касби тумани
113,4К331,Миришкор қ. - Чорвачилик комплекси, 4-11,Маҳаллий,Касби тумани
114,4К332,4Р90 а/йўлидан-Қорақунғирот қ,0-8,Маҳаллий,Касби тумани
115,4К343,Янги Нишон - Чароғил қ. - Фазли.,21-31,Маҳаллий,Касби тумани
116,4К346,Жейнау к-Қамаши к, 10-15,Маҳаллий,Касби тумани
117,4Н287,"""Косон-Касби"" автойўли- Новкат қ.",0-4,Маҳаллий,Касби тумани
118,4Н288,Касби тумани -  Хўжахайрон қ.,0-9,Маҳаллий,Касби тумани
119,4Н289,Қомилон қ. -Месит - Бойдоқчи қ. ,0-8,Маҳаллий,Касби тумани
120,4Н311,"""Бешкент - Касби"" автойўли - Кулариқ қ.",0-1,Маҳаллий,Касби тумани
121,4Н312,Комилон қ.-Юксалиш қ-Хўжахайрон қ.,0-19,Маҳаллий,Касби тумани
122,М-39,"""Алмата-Бешкек-Тошкент-шаҳрисабз-Термиз""",1135-1165,Халқаро,Китоб тумани
123,4Р23п,Китоб ва шаҳрисабз шаҳрига,0-5,Давлат,Китоб тумани
124,4К271,Ўрисқишлоқ қ.-Макрид қ -Минжир қ.- Қопқонёғоч қ.,0-28,Маҳаллий,Китоб тумани
125,4К272,Китоб ш. - Олакўйлак қ.,0-10,Маҳаллий,Китоб тумани
126,4К273,Китоб ш. - Паландара қ. - Наримон қ.,0-22,Маҳаллий,Китоб тумани
127,4К274,Олакўйлак -Қайчили.-Жилисув қ.,0-10,Маҳаллий,Китоб тумани
128,4К275,Бештерак қ. - Макрид қ.,0-8,Маҳаллий,Китоб тумани
129,4К276,Олакўйлак-Бештерак-Сарой қ.,0-10,Маҳаллий,Китоб тумани
130,4К277,Китоб ш. - Шут қ. - Севаз қ.,0-9,Маҳаллий,Китоб тумани
131,4К302,Варганза қ. - Ҳазратбашир қ.,0-24,Маҳаллий,Китоб тумани
132,4К302а, Дониёр шайх қишлогига,0-7,Маҳаллий,Китоб тумани
133,4К303,Китоб ш. - Мироқи қ.,0-25,Маҳаллий,Китоб тумани
134,4К337,Китоб ш. - Бештерак қ. - Чироқчи ш.,0-15,Маҳаллий,Китоб тумани
135,4Н303,"""Китоб - Паландара"" автойўли - Дониёр шайх қ",0-2,Маҳаллий,Китоб тумани
136,4Р92,"""Қарши-Толликургон-Касби-Жуйнов-Помук""",44-73,Давлат,Миришкор тумани
137,4Р96,Олтингугурт з-ди-Помук-Уртабулок,30-80,Давлат,Миришкор тумани
138,4Р97,"""Муборак-Помук-Аланг-33 д.х.-Нишон к.""",28-70,Давлат,Миришкор тумани
139,4К278,Бешкент ш. - Навруз- Чандир қ. - Жейнов қ.,14-63,Маҳаллий,Миришкор тумани
140,4К278а,"а) - ""Муборак - Помуқ"" а/йўлига",0-7,Маҳаллий,Миришкор тумани
141,4К278б,"б) - ""Қарши - Касби"" а/йўлига",0-15,Маҳаллий,Миришкор тумани
142,4К325а,"""Қамаши - Аланг"" а/йўлидан Миришкор кишлогига",0-2,Маҳаллий,Миришкор тумани
143,4К325б,"""Қамаши - Аланг"" а/йўлидан Миришкор тумани марказига",0-3,Маҳаллий,Миришкор тумани
144,4К326,"""Қовчин - Чандир-Қамаши-Аланг"" йўли",0-12,Маҳаллий,Миришкор тумани
145,4К327а,"""Қовчин - Чандир  - Карлик""а/йдан А.Темур ф.у",0-3,Маҳаллий,Миришкор тумани
146,4К327б,"""Қовчин - Чандир  - Карлик""а/йдан С.Муродов ф.у",0-8,Маҳаллий,Миришкор тумани
147,4К329,Карлик к-Жейнау к, 15-20,Маҳаллий,Миришкор тумани
148,4К331,Миришкор қ. - Чорвачилик комплекси,0-4,Маҳаллий,Миришкор тумани
149,4К346,Жейнау к-Қамаши к,0-10,Маҳаллий,Миришкор тумани
150,4Н294,"""Жейнов - Помуқ"" автойўли - Дустлик ф.у",0-7,Маҳаллий,Миришкор тумани
151,4Н319,Қамаши қ. - Жейнов қ. - Миришкор қ,0-8,Маҳаллий,Миришкор тумани
152,А-380,"""Ғузор-Қарши-Бухоро-Нукус-Бейноу""",98-150,Халқаро,Муборак тумани
153,4Р96,Олтингугурт з-ди-Помук-Уртабулок,0-30,Давлат,Муборак тумани
154,4Р97,"""Муборак-Помук-Аланг-33 д.х.-Нишон к.""",0-28,Давлат,Муборак тумани
155,4Р234,Косон-Карлик-Муборак,15-43,Давлат,Муборак тумани
